id,pop0,pop100,pop200,pop300,pop400,pop500,pop600,pop700,pop800,pop900,pop1000
AG,1458,1399,1287,1099,1085,1064,696,614,572,526,493
AI,112,42,0,0,0,0,0,0,0,0,0
AR,68,47,36,21,17,16,1,1,0,0,0
BE,2742,1238,981,812,744,701,681,635,458,376,274
BL,746,625,541,472,409,333,311,284,241,241,190
BS,793,793,793,791,791,791,791,791,790,773,773
FR,827,488,275,206,192,168,130,122,102,88,74
GE,3313,3298,2782,2607,2436,2414,2397,2374,2363,2273,2237
GL,101,17,5,4,1,1,1,1,1,0,0
GR,6009,1967,1789,1628,1298,1132,1075,1073,1072,1070,1070
JU,146,108,81,63,50,50,35,33,30,30,25
LU,1235,1034,959,842,738,696,597,595,590,589,586
NE,1708,1409,1299,1253,1207,1201,1191,1173,1168,1153,1148
NI,174,164,133,131,59,45,24,19,18,0,0
OW,135,102,0,0,0,0,0,0,0,0,0
SG,833,587,333,197,142,119,98,95,92,89,85
SH,143,95,76,67,42,40,40,40,26,1,1
SO,554,450,403,355,210,125,90,79,73,57,56
SZ,238,179,148,114,85,82,78,73,69,69,65
TG,702,593,512,468,449,433,414,408,403,391,382
TI,13054,8418,6965,6574,5293,4852,4777,4297,3918,2363,960
UR,316,156,27,18,18,6,6,5,5,5,5
VD,4725,1590,934,668,612,353,328,244,150,93,91
VS,4474,3075,2379,2278,2046,1429,1391,1325,1295,1186,1152
ZG,148,53,44,39,16,12,0,0,0,0,0
ZU,4253,4040,3929,3839,3705,3469,3270,3189,3017,2971,2744
